url,domain,target_brand_domain,critical_sector_entity_name,source_label,source_file,source_row,dns_status,dns_check_pass,dns_resolves_to_ip,resolved_ips,cname_exists,cname_chain_length,dns_error,validation_status,validation_reason
login-abdm.gov.in,login-abdm.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
alrindiaexpress.com,alrindiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
air1ndiaexpress.com,air1ndiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airind1aexpress.com,airind1aexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindi4express.com,airindi4express.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindia3xpress.com,airindia3xpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindiaexpr3ss.com,airindiaexpr3ss.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindiaexpre5s.com,airindiaexpre5s.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindiaexpres5.com,airindiaexpres5.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
login-airindiaexpress.com,login-airindiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindiaexpress-login.com,airindiaexpress-login.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-airindiaexpress.com,secure-airindiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindiaexpress-secure.com,airindiaexpress-secure.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-airindiaexpress.com,verify-airindiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindiaexpress-verify.com,airindiaexpress-verify.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-airindiaexpress.com,portal-airindiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindiaexpress-portal.com,airindiaexpress-portal.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-airindiaexpress.com,auth-airindiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindiaexpress-auth.com,airindiaexpress-auth.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
4irtel.in,4irtel.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
a1rtel.in,a1rtel.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
alrtel.in,alrtel.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airt3l.in,airt3l.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
login-airtel.in,login-airtel.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airtel-login.in,airtel-login.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-airtel.in,secure-airtel.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airtel-secure.in,airtel-secure.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-airtel.in,verify-airtel.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airtel-verify.in,airtel-verify.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-airtel.in,portal-airtel.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airtel-portal.in,airtel-portal.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-airtel.in,auth-airtel.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airtel-auth.in,airtel-auth.in,airtel.in,Airtel,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
cr5orgi.gov.in,cr5orgi.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
crs0rgi.gov.in,crs0rgi.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
crsorg1.gov.in,crsorg1.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
crsorgl.gov.in,crsorgl.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
login-crsorgi.gov.in,login-crsorgi.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
crsorgi-login.gov.in,crsorgi-login.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-crsorgi.gov.in,secure-crsorgi.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
crsorgi-secure.gov.in,crsorgi-secure.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-crsorgi.gov.in,verify-crsorgi.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
crsorgi-verify.gov.in,crsorgi-verify.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-crsorgi.gov.in,portal-crsorgi.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
crsorgi-portal.gov.in,crsorgi-portal.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-crsorgi.gov.in,auth-crsorgi.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
crsorgi-auth.gov.in,crsorgi-auth.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
login-census.gov.in,login-census.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
census-login.gov.in,census-login.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-census.gov.in,secure-census.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
census-secure.gov.in,census-secure.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-census.gov.in,verify-census.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
census-verify.gov.in,census-verify.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-census.gov.in,portal-census.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
census-portal.gov.in,census-portal.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-census.gov.in,auth-census.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
census-auth.gov.in,census-auth.gov.in,ana.crsorgi.gov.in,ana crs,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
4uthwebmail.nic.in,4uthwebmail.nic.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
authw3bmail.nic.in,authw3bmail.nic.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
authwebm4il.nic.in,authwebm4il.nic.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
authwebma1l.nic.in,authwebma1l.nic.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
