lexical_similarity_score,min_edit_distance_to_brand_domain,homoglyph_similarity_score,brand_token_in_subdomain,brand_token_in_path,brand_not_in_registered_domain,subdomain_depth,dns_check_pass,dns_resolves_to_ip,cname_exists,cname_chain_length,nameserver_reputation_score,passive_dns_first_seen_days,domain_age_days,domain_expiry_days,registrar_reputation_score,asn_reputation_score,ip_seen_with_many_brands,https_enabled,ssl_valid,cert_age_days,ct_log_first_seen_days,url_fetch_success,redirect_count,redirect_cross_domain_count,page_render_success,has_login_form,has_password_input,form_action_external,logo_detected,logo_brand_matches_target_brand,logo_brand_domain_mismatch,favicon_similarity_score,logo_similarity_score,html_dom_similarity_score,high_lexical_similarity,page_fetch_success,no_login_form,no_brand_visual_claim,brand_token_or_logo_present,visual_brand_domain_mismatch,same_html_hash_domain_count_7d,suspected_inactive,suspected_active_infra,suspected_active_no_phish_evidence,phishing,phishing_campaign,validation_status,validation_reason,extraction_status,dns_status,rdap_status,whois_status,http_status,tls_status,page_status,label
0.857143,1,0.857143,0,0,1,0,1,1,0,0,4,-1,7541,129,8,6,1,1,1,22,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_436,success,empty,0
0.857143,1,0.857143,0,0,1,0,1,1,0,0,6,-1,11119,1664,4,-1,0,0,0,-1,-1,1,2,1,1,0,0,0,0,0,0,0.0,0.0,0.5469,1,1,1,1,0,0,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,partial,success,success,skipped,success,error,success,0
0.857143,0,1.0,0,0,1,0,1,1,0,0,6,-1,7968,432,6,-1,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.4844,1,1,1,1,0,0,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,partial,success,success,skipped,success,error,success,0
0.9375,0,1.0,0,0,0,0,1,1,0,0,6,-1,103,262,8,-1,0,1,1,42,-1,1,1,0,1,1,0,0,0,0,1,0.7188,0.0,0.6094,1,1,0,0,1,1,1,0,0,0,1,0,phishing,visual brand match on unauthorized domain,complete,success,success,skipped,success,success,success,1
0.888889,1,0.888889,0,0,1,0,1,1,0,0,6,-1,5464,380,6,-1,0,1,1,47,-1,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.6094,1,0,1,1,0,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,success,success,0
0.56,3,0.56,0,0,1,0,1,1,0,0,8,-1,6714,226,8,8,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5938,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.444444,3,0.444444,0,0,1,0,1,1,0,0,6,-1,3640,377,6,8,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5938,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.4,2,0.4,0,0,1,0,1,1,0,0,6,-1,14,351,4,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.4,2,0.4,0,0,1,1,1,1,0,0,6,-1,14,351,4,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.56,3,0.56,0,0,1,0,1,1,0,0,6,-1,4,361,6,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.56,3,0.56,0,0,1,0,1,1,0,0,6,-1,4,361,6,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,1,1,1,1,1,1,0,0,8,-1,4806,307,8,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.4375,0.0,0.5781,1,0,0,1,0,0,220,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,unavailable,success,http_403,invalid,success,0
0.428571,3,0.428571,0,0,1,1,1,1,0,0,8,-1,336,29,8,8,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.6,1,0.6,0,0,1,1,1,1,0,0,6,-1,3426,591,8,-1,1,1,1,5,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4688,0,0,1,1,0,0,3,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_404,success,success,0
0.6,1,0.6,0,0,1,1,1,1,0,0,6,-1,3426,591,8,-1,1,1,1,5,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4688,0,0,1,1,0,0,3,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_404,success,success,0
0.6,1,0.6,0,0,1,1,1,1,0,0,6,-1,3426,591,8,-1,1,1,1,5,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4688,0,0,1,1,0,0,3,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_404,success,success,0
0.666667,3,0.666667,0,0,1,1,1,1,0,0,8,-1,4505,607,8,-1,0,1,1,58,-1,0,0,0,0,1,0,0,0,0,0,0.5,0.0,0.5469,0,0,0,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,unavailable,success,http_403,success,success,0
0.5,3,0.5,0,0,1,1,1,1,0,0,6,-1,2289,3555,8,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.6,3,0.6,0,0,1,1,1,1,0,0,8,-1,7342,327,8,6,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5781,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.4,2,0.4,0,0,1,1,1,1,0,0,8,-1,2041,150,8,-1,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5312,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,182,183,4,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.0,0.0,0.4375,1,0,0,1,0,0,220,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,invalid,success,0
0.5,2,0.5,0,0,1,1,1,1,0,0,6,-1,2289,3555,8,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.5,3,0.5,0,0,1,1,1,1,0,0,8,-1,360,5,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.4,2,0.4,0,0,1,2,1,1,0,0,6,-1,851,2802,8,-1,0,1,1,25,-1,1,0,0,1,1,1,0,0,0,0,0.5,0.0,0.6094,0,1,0,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.6,2,0.6,0,0,1,1,1,1,0,0,8,-1,7342,327,8,-1,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5781,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.511628,3,0.511628,0,0,1,0,1,1,0,0,6,-1,11,354,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5625,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.511628,3,0.511628,0,0,1,0,1,1,0,0,6,-1,11,354,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5625,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.592593,2,0.592593,0,0,1,3,1,1,0,0,8,-1,7565,256,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.6562,0.0,0.5469,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.6,3,0.6,0,0,1,1,1,1,0,0,8,-1,7342,327,8,6,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5781,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.5,3,0.5,0,0,1,1,1,1,0,0,6,-1,2289,3555,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.5,1,0.5,0,0,1,1,1,1,0,0,6,-1,2289,3555,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.5,1,0.5,0,0,1,1,1,1,0,0,6,-1,2289,3555,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.5,2,0.5,0,0,1,1,1,1,0,0,6,-1,10431,1786,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,error,empty,0
0.5,2,0.5,0,0,1,1,1,1,0,0,6,-1,10431,1786,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,error,empty,0
0.5,2,0.5,0,0,1,1,1,1,0,0,6,-1,10431,1786,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,error,empty,0
0.85,0,0.85,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,rate_limited,error,error,invalid,empty,0
0.85,0,0.85,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,rate_limited,error,error,invalid,empty,0
0.85,0,0.85,0,0,0,1,1,1,0,0,6,-1,22,343,6,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,error,invalid,empty,0
0.85,0,0.85,0,0,0,1,1,1,0,0,6,-1,22,343,6,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,error,invalid,empty,0
0.540541,2,0.540541,0,0,1,0,1,1,0,0,6,-1,16,349,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.540541,2,0.540541,0,0,1,0,1,1,0,0,6,-1,16,349,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.5,3,0.5,0,0,1,1,1,1,0,0,6,-1,2289,3555,8,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.705882,2,0.705882,0,0,1,1,1,1,0,0,6,-1,1976,215,4,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5938,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.6,1,0.6,0,0,1,1,1,1,0,0,6,-1,3426,591,8,-1,1,1,1,5,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4688,0,0,1,1,0,0,3,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_404,success,success,0
0.583333,2,0.583333,0,0,1,1,1,1,0,0,8,-1,4885,593,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.583333,2,0.583333,0,0,1,1,1,1,0,0,8,-1,4885,593,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.583333,2,0.583333,0,0,1,1,1,1,0,0,8,-1,4885,593,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.6,1,0.6,0,0,1,1,1,1,0,0,6,-1,3426,591,8,-1,1,1,1,5,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4688,0,0,1,1,0,0,3,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_404,success,success,0
0.533333,3,0.533333,0,0,1,0,1,1,0,0,6,-1,17,348,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.533333,3,0.533333,0,0,1,0,1,1,0,0,6,-1,17,348,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.533333,3,0.533333,0,0,1,0,1,1,0,0,6,-1,17,348,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.533333,3,0.533333,0,0,1,0,1,1,0,0,6,-1,17,348,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.458333,1,0.458333,0,0,1,0,1,1,0,0,6,-1,35,330,4,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.5625,3,0.5625,0,0,1,0,1,1,0,0,6,-1,18,347,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,1,0,1,1,1,1,0,0,8,-1,7342,327,8,6,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.4688,0.0,0.5312,1,0,0,1,0,0,220,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,invalid,success,0
0.5,3,0.5,0,0,1,1,1,1,0,0,6,-1,2289,3555,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.615385,2,0.615385,0,0,1,0,1,1,0,0,8,-1,48,317,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5781,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.571429,2,0.571429,0,0,1,0,1,1,0,0,8,-1,39,326,8,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,14,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,1,0,1,1,1,1,0,0,8,-1,7342,327,8,-1,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.4844,1,0,0,1,0,0,220,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,invalid,success,0
0.444444,2,0.444444,0,0,1,0,1,1,0,0,8,-1,113,252,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5938,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.451613,3,0.451613,0,0,1,0,1,1,0,0,8,-1,113,252,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5156,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.451613,3,0.451613,0,0,1,0,1,1,0,0,8,-1,300,65,8,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,error,empty,0
0.461538,2,0.461538,0,0,1,0,1,1,0,0,8,-1,113,252,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5938,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.666667,3,0.666667,0,0,1,1,1,1,0,0,8,-1,4505,607,8,-1,0,1,1,58,-1,1,1,0,1,0,0,0,0,0,0,0.5,0.0,0.5156,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,unavailable,success,success,success,success,0
0.6,1,0.6,0,0,1,1,1,1,0,0,8,-1,7342,327,8,-1,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5781,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.461538,1,0.461538,0,0,1,1,1,1,0,0,6,-1,2919,3,6,-1,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5781,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.666667,3,0.666667,0,0,1,1,1,1,0,0,8,-1,4505,607,8,-1,0,1,1,58,-1,1,1,0,1,0,0,0,0,0,0,0.5,0.0,0.5156,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,unavailable,success,success,success,success,0
0.6,2,0.6,0,0,1,1,1,1,0,0,8,-1,7342,327,8,6,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.5312,0.0,0.5781,0,0,0,1,0,0,220,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
