lexical_similarity_score,min_edit_distance_to_brand_domain,homoglyph_similarity_score,brand_token_in_subdomain,brand_token_in_path,brand_not_in_registered_domain,subdomain_depth,dns_check_pass,dns_resolves_to_ip,cname_exists,cname_chain_length,nameserver_reputation_score,passive_dns_first_seen_days,domain_age_days,domain_expiry_days,registrar_reputation_score,asn_reputation_score,ip_seen_with_many_brands,https_enabled,ssl_valid,cert_age_days,ct_log_first_seen_days,url_fetch_success,redirect_count,redirect_cross_domain_count,page_render_success,has_login_form,has_password_input,form_action_external,logo_detected,logo_brand_matches_target_brand,logo_brand_domain_mismatch,favicon_hash_matches_target_brand,favicon_hash_matches_known_phish,html_dom_hash_matches_known_phish,high_lexical_similarity,page_fetch_success,no_login_form,no_brand_visual_claim,brand_token_or_logo_present,visual_brand_domain_mismatch,same_html_hash_domain_count_7d,suspected_inactive,suspected_active_infra,suspected_active_no_phish_evidence,phishing,phishing_campaign,validation_status,validation_reason,extraction_status,dns_status,rdap_status,whois_status,http_status,tls_status,page_status,label
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,34,331,6,6,1,0,0,-1,-1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,6,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,partial,success,success,skipped,success,error,success,0
0.6,3,0.6,0,0,1,0,1,1,0,0,6,-1,7696,339,8,-1,0,1,1,16,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.571429,3,0.571429,0,0,1,0,1,1,0,0,8,-1,26,339,4,8,0,1,1,26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,success,empty,0
0.666667,2,0.666667,0,0,1,0,1,1,0,0,6,-1,9525,336,6,-1,0,1,1,76,-1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.5,2,0.5,0,0,1,0,1,1,0,0,8,-1,27,338,4,-1,0,1,1,25,-1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.484848,3,0.484848,0,0,1,0,1,1,0,0,6,-1,26,339,4,6,1,1,1,22,-1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.4,3,0.4,0,0,1,0,1,1,0,0,6,-1,392,338,6,-1,1,0,0,-1,-1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,38,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,success,error,success,0
0.428571,3,0.428571,0,0,1,0,1,1,0,0,6,-1,34,331,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_530,error,success,0
0.434783,3,0.434783,0,0,1,0,1,1,0,0,8,-1,34,331,4,8,0,1,1,34,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,4776,703,4,-1,0,1,1,25,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,phishing,visual brand match on unauthorized domain,partial,success,success,skipped,http_401,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,391,339,6,-1,1,1,1,24,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand match on unauthorized domain,complete,success,success,skipped,success,success,success,1
0.470588,2,0.470588,0,0,1,0,1,1,0,0,8,-1,33,332,6,-1,0,1,1,33,-1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.444444,2,0.444444,0,0,1,0,1,1,0,0,8,-1,25,340,4,-1,0,1,1,25,-1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.521739,3,0.521739,0,0,1,0,1,1,0,0,8,-1,34,331,6,6,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,106,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,394,336,8,-1,1,1,1,23,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2223,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,complete,success,success,skipped,success,success,success,0
0.545455,2,0.545455,0,0,1,0,1,1,0,0,6,-1,26,339,6,-1,0,1,1,26,-1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.538462,2,0.538462,0,0,1,0,1,1,0,0,8,-1,25,340,4,-1,0,1,1,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,391,339,8,-1,1,1,1,14,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2223,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,complete,success,success,skipped,success,success,success,0
0.533333,3,0.533333,0,0,1,0,1,1,0,0,6,-1,34,331,6,8,1,1,1,34,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.6,2,0.6,0,0,1,0,1,1,0,0,6,-1,8061,339,6,-1,1,1,1,35,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,success,empty,0
0.470588,2,0.470588,0,0,1,0,1,1,0,0,6,-1,30,335,6,-1,0,1,1,30,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,29,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,success,success,0
0.555556,2,0.555556,0,0,1,0,1,1,0,0,6,-1,26,339,8,-1,1,1,0,-1,-1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,success,invalid,success,0
0.666667,1,0.666667,0,0,1,0,1,1,0,0,6,-1,30,335,4,-1,1,0,0,-1,-1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,47,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,success,error,success,0
0.625,3,0.625,0,0,1,0,1,1,0,0,6,-1,26,339,8,8,1,1,1,13,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,201,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,success,success,0
0.6,1,0.6,0,0,1,0,1,1,0,0,6,-1,26,339,4,4,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_436,error,empty,0
0.5,2,0.5,0,0,1,0,1,1,0,0,8,-1,34,331,6,-1,0,1,1,34,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,8,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.444444,2,0.444444,0,0,1,0,1,1,0,0,8,-1,362,3,6,8,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,106,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,invalid,success,0
0.545455,3,0.545455,0,0,1,0,1,1,0,0,6,-1,33,332,8,-1,1,1,1,33,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.592593,2,0.592593,0,0,1,0,1,1,0,0,6,-1,6831,109,6,-1,0,1,1,26,-1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.375,3,0.375,0,0,1,0,1,1,0,0,6,-1,30,335,6,-1,0,1,1,14,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_400,success,success,0
0.470588,2,0.470588,0,0,1,0,1,1,0,0,6,-1,33,332,4,-1,1,1,1,33,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2223,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,unavailable,success,success,success,success,0
0.52381,2,0.52381,0,0,1,0,1,1,0,0,6,-1,3103,184,6,-1,0,1,1,26,-1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.521739,2,0.521739,0,0,1,0,1,1,0,0,6,-1,29,336,6,-1,0,1,1,25,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.315789,2,0.315789,0,0,1,0,1,1,0,0,6,-1,25,340,4,-1,1,1,1,25,-1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.315789,2,0.421053,0,0,1,0,1,1,0,0,6,-1,34,331,4,-1,1,1,1,34,-1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,455,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,26,3627,6,-1,1,1,1,23,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2223,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,58,673,6,-1,0,1,1,26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,17,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,32,333,6,-1,1,1,1,32,-1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand match on unauthorized domain,complete,success,success,skipped,success,success,success,1
0.540541,2,0.540541,0,0,1,0,1,1,0,0,6,-1,1855,336,6,-1,0,1,1,30,-1,1,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,72,293,6,-1,1,1,1,12,-1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,392,338,6,-1,0,0,0,-1,-1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,phishing,visual brand match on unauthorized domain,partial,success,success,skipped,success,error,success,1
0.625,3,0.625,0,0,1,0,1,1,0,0,6,-1,26,339,6,-1,0,1,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,success,invalid,success,0
0.315789,2,0.315789,0,0,1,0,1,1,0,0,6,-1,26,339,4,6,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,invalid,empty,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,5139,1070,8,8,1,1,1,124,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2223,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,complete,success,success,skipped,success,success,success,0
0.315789,2,0.315789,0,0,1,0,1,1,0,0,6,-1,34,331,4,-1,1,1,1,34,-1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,455,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.571429,3,0.571429,0,0,1,0,1,1,0,0,6,-1,30,335,4,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,invalid,empty,0
0.5,1,0.5,0,0,1,0,1,1,0,0,8,-1,25,340,4,-1,0,1,1,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,25,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_404,success,success,0
0.444444,3,0.444444,0,0,1,0,1,1,0,0,8,-1,26,339,4,-1,0,1,1,26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,success,success,0
0.315789,2,0.421053,0,0,1,0,1,1,0,0,6,-1,26,339,4,-1,0,1,1,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,success,empty,0
0.481481,2,0.481481,0,0,1,0,1,1,0,0,8,-1,25,340,6,-1,1,1,1,25,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.5,3,0.5,0,0,1,0,1,1,0,0,6,-1,30,335,4,-1,1,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_436,error,empty,0
0.428571,2,0.428571,0,0,1,0,1,1,0,0,8,-1,391,339,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,error,empty,0
0.315789,2,0.421053,0,0,1,0,1,1,0,0,6,-1,26,339,4,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,invalid,empty,0
0.444444,2,0.444444,0,0,1,0,1,1,0,0,6,-1,391,339,6,-1,1,0,0,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_403,error,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,33,332,4,8,1,1,1,32,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2223,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,partial,success,unavailable,success,success,success,success,0
0.588235,2,0.588235,0,0,1,0,1,1,0,0,6,-1,756,339,8,-1,1,1,1,10,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2223,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.571429,2,0.571429,0,0,1,0,1,1,0,0,4,-1,103,262,6,-1,1,1,1,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_436,success,empty,0
0.538462,3,0.538462,0,0,1,0,1,1,0,0,8,-1,30,335,4,-1,0,1,1,30,-1,1,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,185,180,6,-1,0,1,1,26,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand match on unauthorized domain,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,1125,336,6,-1,1,1,1,44,-1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand match on unauthorized domain,complete,success,success,skipped,success,success,success,1
0.473684,3,0.473684,0,0,1,0,1,1,0,0,6,-1,1125,336,8,-1,1,1,1,177,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2223,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,34,331,4,-1,1,1,1,34,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2223,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,partial,success,unavailable,success,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,4,-1,30,335,6,4,0,1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_404,invalid,success,0
0.421053,2,0.421053,0,0,1,0,1,1,0,0,6,-1,102,263,8,-1,0,1,1,26,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.538462,4,0.538462,0,0,1,0,1,1,0,0,6,-1,30,335,4,-1,0,1,1,30,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,1,0,1,1,0,0,6,-1,9176,686,8,-1,0,1,1,72,-1,1,3,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand match on unauthorized domain,complete,success,success,skipped,success,success,success,1
0.512821,3,0.512821,0,0,1,0,1,1,0,0,6,-1,391,339,6,-1,1,1,1,26,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,421,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,26,339,6,-1,0,1,1,26,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,success,success,0
0.555556,2,0.555556,0,0,1,0,1,1,0,0,6,-1,1491,335,8,-1,1,1,1,26,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2223,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.424242,3,0.424242,0,0,1,0,1,1,0,0,8,-1,25,340,4,-1,0,1,1,25,-1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.315789,2,0.315789,0,0,1,0,1,1,0,0,6,-1,26,339,6,-1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,error,empty,0
0.466667,2,0.466667,0,0,1,0,1,1,0,0,8,-1,25,340,4,-1,0,1,1,25,-1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.117647,5,0.117647,0,0,1,0,1,1,0,0,6,-1,26,3627,4,-1,1,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,http_436,error,empty,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,25,340,6,6,0,1,1,19,-1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand match on unauthorized domain,complete,success,success,skipped,success,success,success,1
0.5,2,0.5,0,0,1,0,1,1,0,0,8,-1,30,335,4,-1,1,1,1,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,success,empty,0
0.47619,3,0.47619,0,0,1,0,1,1,0,0,6,-1,2220,336,8,8,1,1,1,81,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2223,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,complete,success,success,skipped,success,success,success,0
0.636364,2,0.636364,0,0,1,0,1,1,0,0,6,-1,6238,336,4,-1,1,1,1,23,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,partial,success,success,skipped,error,success,empty,0
