url,cse,score,reason,match_type
vitacarbide.com,vi,0.93,prefix_suffix,lexical
32002.vip,vi,0.93,prefix_suffix,lexical
sohobet-erisim.vip,vi,0.93,prefix_suffix,lexical
virtualoffice.one,vi,0.93,prefix_suffix,lexical
villageguitar.com,vi,0.93,prefix_suffix,lexical
vividdealplanet.shop,vi,0.93,prefix_suffix,lexical
vintagevineyardantiques.com,vi,0.93,prefix_suffix,lexical
004224.vip,vi,0.93,prefix_suffix,lexical
10clietsxzfeiraolimpa2026.shop,iocl,0.93,prefix_suffix,lexical
girlsfind.vip,vi,0.93,prefix_suffix,lexical
viral-scale.com,vi,0.93,prefix_suffix,lexical
vitamincaretta.online,vi,0.93,prefix_suffix,lexical
thksw.vip,vi,0.93,prefix_suffix,lexical
iolnq.vip,vi,0.93,prefix_suffix,lexical
viom.us,vi,0.93,prefix_suffix,lexical
violinist-anodes.site,vi,0.93,prefix_suffix,lexical
betplay-resmi.vip,vi,0.93,prefix_suffix,lexical
realwayiconic.online,nic,0.93,prefix_suffix,lexical
1325868.vip,vi,0.93,prefix_suffix,lexical
ptcartaocontinentecom.vip,vi,0.93,prefix_suffix,lexical
vignetteauto-pass.online,vi,0.93,prefix_suffix,lexical
vlotdxlink.com,vi,0.93,prefix_suffix,lexical
jilinsac.com,sac,0.93,prefix_suffix,lexical
ht49xz716.vip,vi,0.93,prefix_suffix,lexical
okii.vip,vi,0.93,prefix_suffix,lexical
com-hrt.vip,vi,0.93,prefix_suffix,lexical
pf-izer.vip,vi,0.93,prefix_suffix,lexical
06683.vip,vi,0.93,prefix_suffix,lexical
viderbergkraft.com,vi,0.93,prefix_suffix,lexical
transbrasinha.online,nha,0.93,prefix_suffix,lexical
villageroad.ca,vi,0.93,prefix_suffix,lexical
villacarolco.xyz,vi,0.93,prefix_suffix,lexical
56548.vip,vi,0.93,prefix_suffix,lexical
y7124419.vip,vi,0.93,prefix_suffix,lexical
34154.vip,vi,0.93,prefix_suffix,lexical
bargains4u.vip,vi,0.93,prefix_suffix,lexical
vibemembership.com,vi,0.93,prefix_suffix,lexical
849xx366.vip,vi,0.93,prefix_suffix,lexical
ht18799.vip,vi,0.93,prefix_suffix,lexical
vibrantislands.store,vi,0.93,prefix_suffix,lexical
knoxvillehomeloans.com,sbi,0.93,prefix_suffix,lexical
villaniclub.com.br,vi,0.93,prefix_suffix,lexical
viaxqzxw.sbs,vi,0.93,prefix_suffix,lexical
viqaxye.com,vi,0.93,prefix_suffix,lexical
visionsuperieure.com,vi,0.93,prefix_suffix,lexical
onekey888.vip,vi,0.93,prefix_suffix,lexical
rddit.vip,vi,0.93,prefix_suffix,lexical
criex.vip,vi,0.93,prefix_suffix,lexical
3dm7ix.vip,vi,0.93,prefix_suffix,lexical
marsbahisresmi-giris.vip,vi,0.93,prefix_suffix,lexical
lojadasfigurinha.com,nha,0.93,prefix_suffix,lexical
iohsz.vip,vi,0.93,prefix_suffix,lexical
cetoclinic.com,nic,0.93,prefix_suffix,lexical
autoparts-vl.com,vi,0.98,exact_label,lexical
vkgfj.vip,vi,0.93,prefix_suffix,lexical
iocic.com,iocl,0.93,prefix_suffix,lexical
ace99playflipper.vip,vi,0.93,prefix_suffix,lexical
allbet888.vip,vi,0.93,prefix_suffix,lexical
vinoscarballal.com,vi,0.93,prefix_suffix,lexical
vivipix.com,vi,0.93,prefix_suffix,lexical
kjw8mc.vip,vi,0.93,prefix_suffix,lexical
pppbaidi.vip,vi,0.93,prefix_suffix,lexical
castlewisehomeloans.com,sbi,0.93,prefix_suffix,lexical
visitgreece.us,vi,0.93,prefix_suffix,lexical
581136.com,sbi,0.93,prefix_suffix,lexical
vinunavigli.com,vi,0.93,prefix_suffix,lexical
vimec.online,vi,0.93,prefix_suffix,lexical
visaacceptanceplatform.com,vi,0.93,prefix_suffix,lexical
bobo188.org,bob,0.93,prefix_suffix,lexical
sextop1v.vip,vi,0.93,prefix_suffix,lexical
bobbyapplegate.com,bob,0.93,prefix_suffix,lexical
linic.net,nic,0.93,prefix_suffix,lexical
betcio-canlidir2026.vip,vi,0.93,prefix_suffix,lexical
bailety365.vip,vi,0.93,prefix_suffix,lexical
viridespa.com,vi,0.93,prefix_suffix,lexical
y7124350.vip,vi,0.93,prefix_suffix,lexical
njsp5bse.com,bse,0.93,prefix_suffix,lexical
ppkks.vip,vi,0.93,prefix_suffix,lexical
fhdnc.vip,vi,0.93,prefix_suffix,lexical
ktbf4zdh7q.vip,vi,0.93,prefix_suffix,lexical
gami-internal.vip,vi,0.93,prefix_suffix,lexical
vittsant.site,vi,0.93,prefix_suffix,lexical
njupi215.vip,vi,0.93,prefix_suffix,lexical
dsfhv1.makeup,vi,0.93,prefix_suffix,lexical
didi51-t0335.vip,vi,0.93,prefix_suffix,lexical
vly.us,vi,0.93,prefix_suffix,lexical
oems-electronic.com,nic,0.93,prefix_suffix,lexical
vibeshelp.xyz,vi,0.93,prefix_suffix,lexical
jec1.cfd,eci,0.93,prefix_suffix,lexical
883388.vip,vi,0.93,prefix_suffix,lexical
vlzoprevent.sbs,vi,0.93,prefix_suffix,lexical
14315.vip,vi,0.93,prefix_suffix,lexical
villaazurepr.com,vi,0.93,prefix_suffix,lexical
nk50qc.vip,vi,0.93,prefix_suffix,lexical
dh579.vip,vi,0.93,prefix_suffix,lexical
nicolemadunic.com,nic,0.93,prefix_suffix,lexical
visa-points.vip,vi,0.93,prefix_suffix,lexical
aisyntaxis.sbs,axis,0.93,prefix_suffix,lexical
novapeptides.vip,vi,0.93,prefix_suffix,lexical
vlbook365.online,vi,0.93,prefix_suffix,lexical
visofree.online,vi,0.93,prefix_suffix,lexical
l88u.vip,vi,0.93,prefix_suffix,lexical
ouvoir.vip,vi,0.93,prefix_suffix,lexical
krishnaclinic.shop,nic,0.93,prefix_suffix,lexical
vincovi.org,vi,0.93,prefix_suffix,lexical
anniversaryt.vip,vi,0.93,prefix_suffix,lexical
visionwork.us,vi,0.93,prefix_suffix,lexical
blumeorganic.com,nic,0.93,prefix_suffix,lexical
visualdesignbykimberlykalan.com,vi,0.93,prefix_suffix,lexical
vitalleanpro.com,vi,0.93,prefix_suffix,lexical
vigacompany.com,vi,0.93,prefix_suffix,lexical
gnic.us,nic,0.93,prefix_suffix,lexical
26649264.vip,vi,0.93,prefix_suffix,lexical
jtscj.vip,vi,0.93,prefix_suffix,lexical
xunix.vip,vi,0.93,prefix_suffix,lexical
vizitprogram.com,vi,0.93,prefix_suffix,lexical
pan-y-vino.com,vi,0.93,prefix_suffix,lexical
violen.cyou,vi,0.93,prefix_suffix,lexical
66332.vip,vi,0.93,prefix_suffix,lexical
vidsers.com,vi,0.93,prefix_suffix,lexical
taraftarium24-hey4.vip,vi,0.93,prefix_suffix,lexical
bien-vivre-aux-angles.com,vi,0.93,prefix_suffix,lexical
14715.vip,vi,0.93,prefix_suffix,lexical
adhar.fun,uidai,0.98,exact_label,lexical
vibesproptech.xyz,vi,0.93,prefix_suffix,lexical
viennahg.com,vi,0.93,prefix_suffix,lexical
kh689.vip,vi,0.93,prefix_suffix,lexical
linkpreventivi.com,vi,0.93,prefix_suffix,lexical
pagpw.vip,vi,0.93,prefix_suffix,lexical
yzbwsm.vip,vi,0.93,prefix_suffix,lexical
06318.vip,vi,0.93,prefix_suffix,lexical
a7ty59.vip,vi,0.93,prefix_suffix,lexical
pprtd.vip,vi,0.93,prefix_suffix,lexical
virility.blog,vi,0.93,prefix_suffix,lexical
vitanitacticaltraining.com,vi,0.93,prefix_suffix,lexical
viralpartnerships.com,vi,0.93,prefix_suffix,lexical
krushisharangagriclinic.com,nic,0.93,prefix_suffix,lexical
camsistemleri.com,cams,0.93,prefix_suffix,lexical
vintagerflow.digital,vi,0.93,prefix_suffix,lexical
fusotremavi.world,vi,0.93,prefix_suffix,lexical
vivlo.ai,vi,0.93,prefix_suffix,lexical
takukuri-navi.com,vi,0.93,prefix_suffix,lexical
cxibcbrkkhu.vip,vi,0.93,prefix_suffix,lexical
elfqur.vip,vi,0.93,prefix_suffix,lexical
314787.vip,vi,0.93,prefix_suffix,lexical
virusshotvodka.com,vi,0.93,prefix_suffix,lexical
seibel.vip,vi,0.93,prefix_suffix,lexical
visionarypathwayalliance.info,vi,0.93,prefix_suffix,lexical
nicfmwb.com,nic,0.93,prefix_suffix,lexical
vitallphineblack.com.br,vi,0.93,prefix_suffix,lexical
sacredrhythmsofkundaliniawakening.com,sac,0.93,prefix_suffix,lexical
vibemediaworks.com,vi,0.93,prefix_suffix,lexical
viceio.link,vi,0.93,prefix_suffix,lexical
vinadabest.com,vi,0.93,prefix_suffix,lexical
viajarhei.com,vi,0.93,prefix_suffix,lexical
virtualdirectconnect.com,vi,0.93,prefix_suffix,lexical
luckysia88.vip,vi,0.93,prefix_suffix,lexical
qraxenolavi.gifts,vi,0.93,prefix_suffix,lexical
virtual-video-walk.com,vi,0.93,prefix_suffix,lexical
xiaoye8.vip,vi,0.93,prefix_suffix,lexical
588xpj23.vip,vi,0.93,prefix_suffix,lexical
808stateofficial.com,bob,0.93,prefix_suffix,lexical
visionandvoicecommunity.com,vi,0.93,prefix_suffix,lexical
vincentscodes.nl,vi,0.93,prefix_suffix,lexical
victoragencyco.com,vi,0.93,prefix_suffix,lexical
77299c.vip,vi,0.93,prefix_suffix,lexical
vibenifty.com,vi,0.93,prefix_suffix,lexical
y7124436.vip,vi,0.93,prefix_suffix,lexical
weibao.vip,vi,0.93,prefix_suffix,lexical
nicolasmagnetiseur.fr,nic,0.93,prefix_suffix,lexical
4333415c.vip,vi,0.93,prefix_suffix,lexical
vistaglide.com,vi,0.93,prefix_suffix,lexical
bobroll.com,bob,0.93,prefix_suffix,lexical
vipsl0t-resmiadresi.vip,vi,0.93,prefix_suffix,lexical
vierteln.info,vi,0.93,prefix_suffix,lexical
vicbrownmedia.com,vi,0.93,prefix_suffix,lexical
visioncontinuum.com,vi,0.93,prefix_suffix,lexical
72526.vip,vi,0.93,prefix_suffix,lexical
vincoarabia.com,vi,0.93,prefix_suffix,lexical
virtualartscenter.com,vi,0.93,prefix_suffix,lexical
sce-nic.com,nic,0.98,exact_label,lexical
victory1688.live,vi,0.93,prefix_suffix,lexical
qodum.vip,vi,0.93,prefix_suffix,lexical
marsin-amp.vip,vi,0.93,prefix_suffix,lexical
nicepiclab.com,nic,0.93,prefix_suffix,lexical
victorsebestyen.com,vi,0.93,prefix_suffix,lexical
75814.vip,vi,0.93,prefix_suffix,lexical
77891.vip,vi,0.93,prefix_suffix,lexical
vionita.com,vi,0.93,prefix_suffix,lexical
v1services.com,vi,0.93,prefix_suffix,lexical
villesites.net,vi,0.93,prefix_suffix,lexical
849ff369.vip,vi,0.93,prefix_suffix,lexical
vibelaxcs.shop,vi,0.93,prefix_suffix,lexical
y7123996.vip,vi,0.93,prefix_suffix,lexical
vieclamviet.net,vi,0.93,prefix_suffix,lexical
vintageclothingco.space,vi,0.93,prefix_suffix,lexical
vitahealacademy.com,vi,0.93,prefix_suffix,lexical
8obkfb.sbs,bob,0.93,prefix_suffix,lexical
vivcliff-foundation.org,vi,0.93,prefix_suffix,lexical
vip-mmppo.com,vi,0.93,prefix_suffix,lexical
vinctattoo.com,vi,0.93,prefix_suffix,lexical
haberintimeci.site,eci,0.93,prefix_suffix,lexical
services-postdhl.vip,vi,0.93,prefix_suffix,lexical
h94vl.top,vi,0.93,prefix_suffix,lexical
krikaya.vip,vi,0.93,prefix_suffix,lexical
virtualmeetingplanner.com,vi,0.93,prefix_suffix,lexical
islila.vip,vi,0.93,prefix_suffix,lexical
databricks.vip,vi,0.93,prefix_suffix,lexical
infiniticamelback.com,icici,0.93,prefix_suffix,lexical
36440.vip,vi,0.93,prefix_suffix,lexical
copiearchivi.com,vi,0.93,prefix_suffix,lexical
visionforgetechnology.com,vi,0.93,prefix_suffix,lexical
bellezadeluxeclinic.com,nic,0.93,prefix_suffix,lexical
vlashstyleboutique.com,vi,0.93,prefix_suffix,lexical
bobox.us,bob,0.93,prefix_suffix,lexical
nico-ortho.com,nic,0.93,prefix_suffix,lexical
video2checkout.info,vi,0.93,prefix_suffix,lexical
knlhu412.vip,vi,0.93,prefix_suffix,lexical
astronic.us,nic,0.93,prefix_suffix,lexical
xxjvi.com,vi,0.93,prefix_suffix,lexical
ds-vlabs.com,vi,0.93,prefix_suffix,lexical
villasloscipreses.com,vi,0.93,prefix_suffix,lexical
virtuallynantucket.com,vi,0.93,prefix_suffix,lexical
orgijateng.org,census,0.93,prefix_suffix,lexical
vip2018999.com,vi,0.93,prefix_suffix,lexical
cerebralpalsyclinic.com,nic,0.93,prefix_suffix,lexical
zhibo8-pro.com,bob,0.93,prefix_suffix,lexical
navi-teq.com,vi,0.93,prefix_suffix,lexical
d2unh4.cfd,nha,0.93,prefix_suffix,lexical
schatz-family-vineyards.com,vi,0.93,prefix_suffix,lexical
os-ultrasonic.com,nic,0.93,prefix_suffix,lexical
vhsgb.vip,vi,0.93,prefix_suffix,lexical
kumonpr.com,nic,0.93,prefix_suffix,lexical
huqyi.vip,vi,0.93,prefix_suffix,lexical
betsmove-2026erisim.vip,vi,0.93,prefix_suffix,lexical
dodoc.vip,vi,0.93,prefix_suffix,lexical
axisartedesign.pt,axis,0.93,prefix_suffix,lexical
becne.vip,vi,0.93,prefix_suffix,lexical
c719.vip,vi,0.93,prefix_suffix,lexical
90940.vip,vi,0.93,prefix_suffix,lexical
viegy.com,vi,0.93,prefix_suffix,lexical
ai-victoria.com,vi,0.93,prefix_suffix,lexical
amazeorganic.com,nic,0.93,prefix_suffix,lexical
vlbtl.faith,vi,0.93,prefix_suffix,lexical
virginiahotels.biz,vi,0.93,prefix_suffix,lexical
vitaero.org,vi,0.93,prefix_suffix,lexical
victor0000.info,vi,0.93,prefix_suffix,lexical
y7124333.vip,vi,0.93,prefix_suffix,lexical
rauanse.vip,vi,0.93,prefix_suffix,lexical
54567.vip,vi,0.93,prefix_suffix,lexical
12739.vip,vi,0.93,prefix_suffix,lexical
nhasachviet21.top,nha,0.93,prefix_suffix,lexical
bobgeiss.com,bob,0.93,prefix_suffix,lexical
visitspirooklahoma.com,vi,0.93,prefix_suffix,lexical
fxela.vip,vi,0.93,prefix_suffix,lexical
t-visionpayments.com,vi,0.93,prefix_suffix,lexical
sacredshifts.com,sac,0.93,prefix_suffix,lexical
uqxfi.vip,vi,0.93,prefix_suffix,lexical
bdngda234.vip,vi,0.93,prefix_suffix,lexical
26124376.vip,vi,0.93,prefix_suffix,lexical
maxnovelstories.vip,vi,0.93,prefix_suffix,lexical
viralproductzone.com,vi,0.93,prefix_suffix,lexical
mehrzadclinic.com,nic,0.93,prefix_suffix,lexical
9yisda.vip,vi,0.93,prefix_suffix,lexical
vizenith.xyz,vi,0.93,prefix_suffix,lexical
fjnrh.vip,vi,0.93,prefix_suffix,lexical
vibesdesigns.xyz,vi,0.93,prefix_suffix,lexical
vitalslim.health,vi,0.93,prefix_suffix,lexical
vibecritic.site,vi,0.93,prefix_suffix,lexical
26124561.vip,vi,0.93,prefix_suffix,lexical
vindicationnation.com,vi,0.93,prefix_suffix,lexical
viewpensacolarealestate.com,vi,0.93,prefix_suffix,lexical
956333.vip,vi,0.93,prefix_suffix,lexical
titansinpr.com,nic,0.93,prefix_suffix,lexical
ab155558.vip,vi,0.93,prefix_suffix,lexical
26124431.vip,vi,0.93,prefix_suffix,lexical
4ayh7h.vip,vi,0.93,prefix_suffix,lexical
vinayakenterpriseglobal.com,vi,0.93,prefix_suffix,lexical
vital7ship.com,vi,0.93,prefix_suffix,lexical
fortunerewards.vip,vi,0.93,prefix_suffix,lexical
eclairbitcoin.app,eci,0.93,prefix_suffix,lexical
fy99.vip,vi,0.93,prefix_suffix,lexical
y7124585.vip,vi,0.93,prefix_suffix,lexical
vingette-path.online,vi,0.93,prefix_suffix,lexical
axis-cardservices.online,axis,0.98,exact_label,lexical
myvip-vip.homes,vi,0.93,prefix_suffix,lexical
79146.vip,vi,0.93,prefix_suffix,lexical
juxxax368.vip,vi,0.93,prefix_suffix,lexical
h12vl.top,vi,0.93,prefix_suffix,lexical
viewsoflagos.com,vi,0.93,prefix_suffix,lexical
xenic.ai,nic,0.93,prefix_suffix,lexical
botha.vip,vi,0.93,prefix_suffix,lexical
visfactory.com,vi,0.93,prefix_suffix,lexical
y7124395.vip,vi,0.93,prefix_suffix,lexical
virilityforgezone.com,vi,0.93,prefix_suffix,lexical
vietnam4dslot.com,vi,0.93,prefix_suffix,lexical
vibranthitrealm.shop,vi,0.93,prefix_suffix,lexical
viniitalianipremiums.com,vi,0.93,prefix_suffix,lexical
sachsen-natur.com,sac,0.93,prefix_suffix,lexical
76974.vip,vi,0.93,prefix_suffix,lexical
vis-link.com,vi,0.93,prefix_suffix,lexical
qmhkm415.vip,vi,0.93,prefix_suffix,lexical
didi51-t0386.vip,vi,0.93,prefix_suffix,lexical
visitfashion.site,vi,0.93,prefix_suffix,lexical
pkrace99flock.vip,vi,0.93,prefix_suffix,lexical
viralloom.online,vi,0.93,prefix_suffix,lexical
vivbake.com,vi,0.93,prefix_suffix,lexical
vintagevapes.world,vi,0.93,prefix_suffix,lexical
casinoroyaltek.vip,vi,0.93,prefix_suffix,lexical
vieipanemarj.com.br,vi,0.93,prefix_suffix,lexical
sgvxq.vip,vi,0.93,prefix_suffix,lexical
vidabyum.com,vi,0.93,prefix_suffix,lexical
t-visionreturns.com,vi,0.93,prefix_suffix,lexical
kaiyun-vip888.com,vi,0.93,prefix_suffix,lexical
vistamaggiore.com,vi,0.93,prefix_suffix,lexical
viikshana.com,vi,0.93,prefix_suffix,lexical
hasbi-computer.store,sbi,0.93,prefix_suffix,lexical
des-villes-et-des-justes.com,vi,0.93,prefix_suffix,lexical
vippanel.site,vi,0.93,prefix_suffix,lexical
visumandracks.site,vi,0.93,prefix_suffix,lexical
viramalife.com,vi,0.93,prefix_suffix,lexical
gm-vip.com,vi,0.93,prefix_suffix,lexical
viagra-cialis-buy-sell.org,vi,0.93,prefix_suffix,lexical
nhakhoagooddental.com,nha,0.93,prefix_suffix,lexical
victordefense.com,vi,0.93,prefix_suffix,lexical
adamavi.com,vi,0.93,prefix_suffix,lexical
w88u.vip,vi,0.93,prefix_suffix,lexical
qyc32.vip,vi,0.93,prefix_suffix,lexical
vitalvickirealtor.com,vi,0.93,prefix_suffix,lexical
dvfqr.vip,vi,0.93,prefix_suffix,lexical
vintagechrono.com,vi,0.93,prefix_suffix,lexical
rogan.vip,vi,0.93,prefix_suffix,lexical
ab69.vip,vi,0.93,prefix_suffix,lexical
73248.vip,vi,0.93,prefix_suffix,lexical
vip-mile-sport.com,vi,0.93,prefix_suffix,lexical
gwxnu.vip,vi,0.93,prefix_suffix,lexical
vipvitality.link,vi,0.93,prefix_suffix,lexical
mg28.vip,vi,0.93,prefix_suffix,lexical
virtualhealthcare360.com,vi,0.93,prefix_suffix,lexical
mariagabriele-e-vinicius.com.br,vi,0.93,prefix_suffix,lexical
violetaisolutions.com,vi,0.93,prefix_suffix,lexical
shopbvi.com,vi,0.93,prefix_suffix,lexical
victorsmits.online,vi,0.93,prefix_suffix,lexical
vistaclo.com,vi,0.93,prefix_suffix,lexical
dzhgf.vip,vi,0.93,prefix_suffix,lexical
vinelandwines.com,vi,0.93,prefix_suffix,lexical
onqnl.vip,vi,0.93,prefix_suffix,lexical
viewtransitschedules.com,vi,0.93,prefix_suffix,lexical
vinstcorebittrade.com,vi,0.93,prefix_suffix,lexical
51k.vip,vi,0.93,prefix_suffix,lexical
vividbuild.net,vi,0.93,prefix_suffix,lexical
viewsmkt.online,vi,0.93,prefix_suffix,lexical
meybetmobil.vip,vi,0.93,prefix_suffix,lexical
musamevi.com,vi,0.93,prefix_suffix,lexical
hair-vital.xyz,vi,0.93,prefix_suffix,lexical
marketing-clinic.com,nic,0.93,prefix_suffix,lexical
dhcams.com,cams,0.93,prefix_suffix,lexical
vigilping.co.uk,vi,0.93,prefix_suffix,lexical
pelgf.vip,vi,0.93,prefix_suffix,lexical
vixmfg.com,vi,0.93,prefix_suffix,lexical
159159vip.vip,vi,0.93,prefix_suffix,lexical
12581.you,sbi,0.93,prefix_suffix,lexical
viclouds.site,vi,0.93,prefix_suffix,lexical
habob.no,bob,0.93,prefix_suffix,lexical
vignetteautopass.site,vi,0.93,prefix_suffix,lexical
n88u.vip,vi,0.93,prefix_suffix,lexical
virlo.us,vi,0.93,prefix_suffix,lexical
v18va12.com,vi,0.93,prefix_suffix,lexical
vitanewstoday.info,vi,0.93,prefix_suffix,lexical
7b77.vip,vi,0.93,prefix_suffix,lexical
vivanaturo.com,vi,0.93,prefix_suffix,lexical
sacredspaheal.com.de,sac,0.93,prefix_suffix,lexical
vlovira.com,vi,0.93,prefix_suffix,lexical
dbiclinic.com,nic,0.93,prefix_suffix,lexical
villegaslegal.com,vi,0.93,prefix_suffix,lexical
ynsqy.vip,vi,0.93,prefix_suffix,lexical
villasunsetcesme.com,vi,0.93,prefix_suffix,lexical
buyaninfiniti.com,icici,0.93,prefix_suffix,lexical
vintagehillgenealogy.net,vi,0.93,prefix_suffix,lexical
yrjinuvl.xyz,vi,0.93,prefix_suffix,lexical
